set,batch,rack_position,run_order,tube_sample,genotype,wormgrowth_sample_name,Solvent,parameters
3,6,D11,141,nmr131,PD1074,aos99_ga_ms2,D2O,noesypr1d
3,6,D12,142,pooled_mutant,pooled_mutant,pooled_mutant,D2O,noesypr1d
3,6,E1,143,pooled_pd1074,pooled_pd1074,pooled_pd1074,D2O,noesypr1d
3,6,E2,144,nmr110,solera,solera,D2O,noesypr1d
3,6,E3,145,nmr109,extraction_blank_d20,extraction_blank_d20,D2O,noesypr1d
3,6,E4,146,solvent_blank,solvent_d20,solvent_d20,D2O,noesypr1d
3,5,A1,95,solvent_blank,solvent_cdcl3,solvent_cdcl3,CDCl3,proton
3,5,A2,96,nmr85,extraction_blank_cdcl3,extraction_blank_cdcl3,CDCl3,proton
3,5,A3,97,nmr86,solera,solera,CDCl3,proton
3,5,A4,98,nmr87,VC2524,aos85_ga_ms3,CDCl3,proton
3,5,A5,99,nmr88,PD1074,aos181_ga_ms2,CDCl3,proton
3,5,A6,100,nmr89,UGT60,aos193_ga_ms3,CDCl3,proton
3,5,A7,101,nmr90,PD1074,aos196_ga_ms2,CDCl3,proton
3,5,A8,102,nmr91,RB2055,aos26_ga_ms2,CDCl3,proton
3,5,A9,103,nmr92,UGT49,aos39_ga_ms2,CDCl3,proton
3,5,A10,104,nmr93,PD1074,aos41_ga_ms2,CDCl3,proton
3,5,A11,105,nmr94,UGT60,aos33_ga_ms2,CDCl3,proton
3,5,A12,106,nmr95,PD1074,aos44_ga_ms2,CDCl3,proton
3,5,B1,107,nmr96,VC2524,aos47_ga_ms2,CDCl3,proton
3,5,B2,108,nmr97,UGT49,aos49_ga_ms2,CDCl3,proton
3,5,B3,109,nmr98,AUM2073,aos51_ga_ms2,CDCl3,proton
3,5,B4,110,nmr99,RB2055,aos45_ga_ms2,CDCl3,proton
3,5,B5,111,nmr100,PD1074,aos54_ga_ms4,CDCl3,proton
3,5,B6,112,nmr101,UGT60,aos66_ga_ms2,CDCl3,proton
3,5,B7,113,nmr102,VC2524,aos70_ga_ms2,CDCl3,proton
3,5,B8,114,nmr103,PD1074,aos69_ga_ms3,CDCl3,proton
3,5,B9,115,nmr104,PD1074,aos75_ga_ms4,CDCl3,proton
3,5,B10,116,nmr105,AUM2073,aos79_ga_ms2,CDCl3,proton
3,5,B11,117,nmr106,RB2055,aos83_ga_ms2,CDCl3,proton
3,5,B12,118,nmr107,PD1074,aos87_ga_ms3,CDCl3,proton
3,5,C1,119,nmr108,AUM2073,aos91_ga_ms2,CDCl3,proton
3,5,C2,120,solvent_blank,solvent_cdcl3,solvent_cdcl3,CDCl3,proton
3,6,C3,121,nmr111,UGT49,aos101_ga_ms2,CDCl3,proton
3,6,C4,122,nmr112,PD1074,aos102_ga_ms3,CDCl3,proton
3,6,C5,123,nmr113,VC2524,aos105_co_ms2,CDCl3,proton
3,6,C6,124,nmr114,PD1074,aos113_ga_ms1,CDCl3,proton
3,6,C7,125,nmr115,RB2055,aos114_ga_ms2,CDCl3,proton
3,6,C8,126,nmr116,RB2055,aos118_ga_ms2,CDCl3,proton
3,6,C9,127,nmr117,AUM2073,aos120_ga_ms2,CDCl3,proton
3,6,C10,128,nmr118,UGT49,aos133_ga_ms2,CDCl3,proton
3,6,C11,129,nmr119,AUM2073,aos135_ga_ms2,CDCl3,proton
