UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_3945,1040,C42H73N9O6,[M - H]-,C42H73N9O6,0.426130653,2.370540932,2.370540932,0,3,0.20657277,0.033806753,2.375269075,-4.513894002,798.5575,352.7,683_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime352.7scanNumNAprec,683,1
met_3948,498,C38H76NO10P,[M - H]-,C38H76NO10P,0.991457286,37.91108513,37.91108513,0,10,0.810335527,-2.87711722,2.87711722,2.026014804,736.5149,217.9,295_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime217.9scanNumNAprec,295,4
met_3971,184,C42H80NO7P,[M - H]-,C42H80NO7P,1,20.42084701,20.42084701,0,6,0.622901517,-1.080454209,1.080454209,3.154254667,740.5623,365.11,316_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime365.11scanNumNApre,316,3
met_400,616,C42H74NO8P,[M - H]-,C42H74NO8P,0.961809045,11.99718543,11.99718543,0,7,0.465147817,-4.721916659,4.721916659,0.76147584,750.5085,203.99,370_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime203.99scanNumNApre,370,1
met_4029,631,C44H80NO7P,[M - H]-,C44H80NO7P,0.955276382,-0.57140515,-0.57140515,0,3,0.111157196,0.564870888,3.710356554,-0.476192974,764.5596,336.18,460_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime336.18scanNumNApre,460,6
met_4030,1152,C47H77N3O7,[M - H]-,C47H77N3O7,0.309547739,1,1,0,1,0,NaN,NaN,3.303224556,794.5715,359.68,655_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime359.68scanNumNApre,655,3
met_4042,163,C43H78NO7P,[M - H]-,C43H78NO7P,1,23.63137491,23.63137491,0,20,0.926314982,-3.467930209,3.467930209,0.24780155,750.5445,322.65,376_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime322.65scanNumNApre,376,2
met_4046,361,C43H78NO7P,[M - H]-,C43H78NO7P,0.999497487,56.29653113,56.29653113,0,31,0.955883529,-2.186361533,2.186361533,1.313692978,750.5453,337.1,377_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime337.1scanNumNAprec,377,2
met_4049,992,C46H81N5O3,[M - H]-,C46H81N5O3,0.471356784,1,1,0,1,0,NaN,NaN,-4.749387421,750.6231,429.76,378_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime429.76scanNumNApre,378,1
met_4054,142,C42H76NO8P,[M - H]-,C42H76NO8P,1,26.26969204,26.26969204,0,19,0.963773245,-4.335752291,4.335752291,1.623109419,752.5248,275.13,385_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime275.13scanNumNApre,385,1
